Price,District,Town,Type,EnergyCertificate,Parking,ConstructionYear,TotalArea,Garage,Elevator,ElectricCarsCharging,NumberOfBedrooms,NumberOfWC,LivingArea,NumberOfBathrooms,Region
98000.0,Aveiro,Albergaria-a-Velha e Valmaior,Apartment,F,0.0,1992.0,81.0,False,False,False,2.0,0.0,81.0,1.0,Centro
290000.0,Aveiro,"Canedo, Vale e Vila Maior",House,F,0.0,1992.0,137.0,True,False,False,4.0,1.0,265.0,4.0,Norte
182000.0,Aveiro,Espinho,Apartment,D,1.0,1990.0,61.0,False,False,False,2.0,0.0,76.0,2.0,Norte
37000.0,Aveiro,São Salvador,House,NC,0.0,1950.0,140.0,False,False,False,3.0,2.0,90.0,2.0,Centro
250000.0,Aveiro,Glória e Vera Cruz,Apartment,B,1.0,2023.0,57.0,False,True,True,1.0,0.0,50.0,1.0,Centro
295000.0,Aveiro,Sosa,House,D,0.0,2001.0,217.0,True,False,True,4.0,3.0,164.0,3.0,Centro
99000.0,Aveiro,Macinhata do Vouga,House,F,0.0,1970.0,126.0,True,False,False,4.0,0.0,100.0,1.0,Centro
238000.0,Aveiro,São João da Madeira,House,E,1.0,1956.0,80.0,False,False,False,2.0,0.0,80.0,2.0,Norte
160000.0,Aveiro,Albergaria-a-Velha e Valmaior,House,F,1.0,1951.0,132.0,False,False,False,2.0,0.0,122.0,1.0,Centro
425000.0,Aveiro,"Ovar, São João, Arada e São Vicente de Pereira Jusã",House,D,1.0,1992.0,165.0,False,False,False,4.0,1.0,165.0,5.0,Centro
149900.0,Aveiro,"Ovar, São João, Arada e São Vicente de Pereira Jusã",Apartment,C,1.0,1997.0,71.0,False,False,True,2.0,0.0,71.0,1.0,Centro
175000.0,Aveiro,Arrifana,Apartment,C,0.0,2003.0,124.0,True,True,False,3.0,2.0,124.0,2.0,Norte
229000.0,Aveiro,Esgueira,Apartment,E,0.0,1998.0,117.0,True,False,False,2.0,0.0,84.0,1.0,Centro
250000.0,Aveiro,Monte,House,C,1.0,1951.0,68.0,False,False,False,3.0,1.0,55.0,4.0,Centro
160000.0,Aveiro,São João de Ver,Apartment,D,1.0,2003.0,93.0,False,True,False,2.0,0.0,93.0,0.0,Norte
35000.0,Aveiro,Macinhata do Vouga,House,NC,1.0,1970.0,162.0,False,False,False,2.0,0.0,162.0,0.0,Centro
